t 32 34
v 0 1 3
v 1 1 2
v 2 1 2
v 3 1 2
v 4 1 2
v 5 1 3
v 6 1 3
v 7 3 2
v 8 2 1
v 9 1 3
v 10 1 2
v 11 1 2
v 12 1 2
v 13 1 2
v 14 1 3
v 15 3 2
v 16 3 2
v 17 1 3
v 18 1 2
v 19 1 2
v 20 1 2
v 21 1 2
v 22 1 3
v 23 6 4
v 24 2 1
v 25 2 1
v 26 2 1
v 27 1 1
v 28 1 3
v 29 3 2
v 30 1 1
v 31 3 2
e 0 31 0
e 0 1 1
e 0 2 1
e 1 3 1
e 2 4 0
e 3 5 0
e 4 5 0
e 5 6 0
e 6 7 0
e 6 8 0
e 7 9 0
e 9 10 0
e 9 11 0
e 10 12 0
e 11 13 1
e 12 14 0
e 13 14 0
e 14 15 0
e 15 16 1
e 16 17 0
e 17 18 1
e 17 19 0
e 18 20 1
e 19 21 0
e 20 22 2
e 21 22 0
e 22 23 0
e 23 24 0
e 23 25 0
e 23 26 0
e 27 28 0
e 28 29 1
e 28 30 1
e 29 31 1
