t 32 34
v 0 1 3
v 1 1 3
v 2 2 1
v 3 1 2
v 4 1 3
v 5 1 1
v 6 2 2
v 7 1 3
v 8 1 3
v 9 1 2
v 10 1 3
v 11 2 1
v 12 1 3
v 13 1 3
v 14 2 1
v 15 2 2
v 16 1 3
v 17 1 3
v 18 1 3
v 19 2 2
v 20 1 3
v 21 2 1
v 22 1 3
v 23 2 1
v 24 2 1
v 25 1 3
v 26 2 1
v 27 1 3
v 28 2 1
v 29 2 1
v 30 2 1
v 31 1 2
e 0 1 0
e 0 4 0
e 0 19 0
e 1 2 0
e 1 5 0
e 3 4 1
e 3 6 1
e 4 29 0
e 6 7 0
e 7 8 0
e 7 30 0
e 8 9 0
e 8 16 0
e 9 10 0
e 10 11 0
e 10 12 0
e 12 13 0
e 12 14 0
e 13 15 0
e 13 16 0
e 15 27 0
e 16 17 0
e 17 18 0
e 17 25 0
e 18 20 1
e 18 31 0
e 19 20 0
e 20 21 0
e 22 23 0
e 22 24 1
e 22 31 0
e 25 26 0
e 25 27 1
e 27 28 0
