t 64 63
v 0 1 3
v 1 1 3
v 2 2 1
v 3 1 3
v 4 1 2
v 5 1 1
v 6 3 3
v 7 1 3
v 8 1 2
v 9 1 1
v 10 1 3
v 11 2 1
v 12 3 2
v 13 1 1
v 14 2 1
v 15 1 3
v 16 1 3
v 17 1 3
v 18 3 3
v 19 1 2
v 20 1 3
v 21 1 1
v 22 1 1
v 23 1 1
v 24 1 3
v 25 1 1
v 26 2 1
v 27 3 1
v 28 2 1
v 29 1 3
v 30 1 2
v 31 3 3
v 32 1 3
v 33 1 1
v 34 1 3
v 35 1 1
v 36 1 1
v 37 2 1
v 38 1 3
v 39 1 2
v 40 3 3
v 41 1 3
v 42 1 1
v 43 1 3
v 44 1 1
v 45 1 1
v 46 2 1
v 47 1 3
v 48 1 1
v 49 1 1
v 50 3 2
v 51 1 2
v 52 1 3
v 53 3 3
v 54 2 1
v 55 1 3
v 56 1 1
v 57 1 3
v 58 1 1
v 59 3 2
v 60 1 2
v 61 1 3
v 62 1 1
v 63 2 1
e 0 1 0
e 0 2 0
e 0 3 1
e 1 4 0
e 1 5 0
e 3 6 0
e 3 7 0
e 4 8 0
e 6 9 0
e 6 10 0
e 7 11 0
e 7 12 1
e 8 13 0
e 10 14 0
e 10 15 0
e 12 16 1
e 15 17 0
e 15 18 0
e 16 19 0
e 16 20 1
e 17 21 0
e 17 22 1
e 18 23 0
e 18 24 0
e 19 25 0
e 20 26 0
e 20 27 0
e 24 28 0
e 24 29 0
e 29 30 1
e 29 31 1
e 30 32 0
e 31 33 0
e 31 34 1
e 32 35 0
e 32 36 0
e 34 37 0
e 34 38 0
e 38 39 0
e 38 40 1
e 39 41 0
e 40 42 0
e 40 43 0
e 41 44 0
e 41 45 0
e 43 46 1
e 43 47 0
e 47 49 0
e 47 50 0
e 48 51 0
e 50 52 1
e 51 53 0
e 52 54 0
e 52 55 0
e 53 56 2
e 53 57 0
e 55 58 0
e 55 59 0
e 57 60 1
e 57 61 0
e 59 61 0
e 60 62 1
e 61 63 0
