t 32 35
v 0 3 1
v 1 1 2
v 2 1 3
v 3 1 2
v 4 1 2
v 5 1 2
v 6 1 2
v 7 1 3
v 8 1 2
v 9 3 2
v 10 3 2
v 11 1 3
v 12 3 2
v 13 2 1
v 14 3 2
v 15 1 2
v 16 1 3
v 17 1 2
v 18 1 2
v 19 1 2
v 20 1 2
v 21 1 3
v 22 1 3
v 23 3 3
v 24 1 2
v 25 1 1
v 26 1 3
v 27 3 3
v 28 1 2
v 29 1 2
v 30 1 2
v 31 1 2
e 0 1 0
e 1 2 0
e 2 3 1
e 2 4 1
e 3 5 0
e 4 6 0
e 5 7 0
e 6 7 2
e 7 8 0
e 8 9 1
e 9 10 0
e 10 11 0
e 11 12 0
e 11 13 1
e 12 14 0
e 14 15 0
e 15 16 0
e 16 17 0
e 16 18 0
e 17 19 0
e 18 20 0
e 19 21 0
e 20 21 0
e 21 22 0
e 22 23 0
e 22 24 0
e 23 25 0
e 23 26 1
e 24 27 0
e 26 27 0
e 26 28 0
e 27 29 0
e 28 30 1
e 29 31 0
e 30 31 0
