t 64 70
v 0 1 1
v 1 1 2
v 2 1 3
v 3 3 3
v 4 1 2
v 5 1 3
v 6 3 2
v 7 1 3
v 8 1 3
v 9 3 2
v 10 2 1
v 11 1 3
v 12 1 2
v 13 3 3
v 14 1 3
v 15 1 2
v 16 1 3
v 17 2 1
v 18 3 2
v 19 1 3
v 20 1 2
v 21 1 3
v 22 3 3
v 23 1 2
v 24 1 1
v 25 1 3
v 26 2 1
v 27 3 2
v 28 1 3
v 29 1 2
v 30 1 3
v 31 1 3
v 32 1 2
v 33 1 2
v 34 1 2
v 35 1 3
v 36 1 2
v 37 1 3
v 38 6 4
v 39 2 1
v 40 2 1
v 41 2 1
v 42 6 3
v 43 2 1
v 44 2 1
v 45 1 1
v 46 3 2
v 47 1 2
v 48 1 3
v 49 1 2
v 50 3 3
v 51 1 3
v 52 1 1
v 53 1 3
v 54 3 2
v 55 1 3
v 56 1 2
v 57 3 3
v 58 1 3
v 59 1 2
v 60 1 1
v 61 1 1
v 62 2 1
v 63 2 1
e 0 13 0
e 1 2 0
e 1 5 0
e 2 3 0
e 2 8 0
e 3 4 0
e 3 45 0
e 4 5 0
e 5 6 0
e 6 7 1
e 7 46 1
e 7 63 0
e 8 9 1
e 8 10 0
e 9 11 0
e 11 12 0
e 11 15 0
e 12 13 0
e 13 14 0
e 14 15 0
e 14 16 1
e 16 17 0
e 16 18 1
e 18 19 0
e 19 20 0
e 19 23 0
e 20 21 0
e 21 22 0
e 21 25 0
e 22 23 0
e 22 24 0
e 25 26 0
e 25 27 1
e 27 28 0
e 28 29 0
e 28 33 0
e 29 30 1
e 30 31 0
e 30 37 0
e 31 32 0
e 31 34 0
e 32 33 0
e 34 35 0
e 35 36 0
e 35 42 0
e 36 37 1
e 37 38 0
e 38 39 0
e 38 40 1
e 38 41 0
e 42 43 0
e 42 44 0
e 46 48 0
e 47 48 0
e 47 51 0
e 48 49 0
e 49 50 0
e 50 51 0
e 50 52 0
e 51 53 0
e 53 54 0
e 53 62 1
e 54 55 1
e 55 56 0
e 55 59 0
e 56 57 0
e 57 58 1
e 57 60 0
e 58 59 0
e 58 61 0
