t 64 70
v 0 3 2
v 1 2 1
v 2 3 3
v 3 3 2
v 4 3 2
v 5 3 3
v 6 2 1
v 7 3 3
v 8 2 1
v 9 3 3
v 10 2 1
v 11 1 3
v 12 1 2
v 13 1 3
v 14 1 2
v 15 1 3
v 16 1 2
v 17 1 2
v 18 1 2
v 19 1 3
v 20 1 3
v 21 1 2
v 22 1 3
v 23 1 2
v 24 1 3
v 25 1 2
v 26 1 2
v 27 1 3
v 28 1 2
v 29 1 3
v 30 1 3
v 31 1 2
v 32 1 3
v 33 1 2
v 34 1 3
v 35 1 2
v 36 1 3
v 37 1 3
v 38 1 2
v 39 1 3
v 40 1 2
v 41 1 3
v 42 1 2
v 43 1 3
v 44 1 3
v 45 1 1
v 46 1 1
v 47 3 2
v 48 3 2
v 49 3 2
v 50 1 1
v 51 1 3
v 52 2 1
v 53 1 2
v 54 0 1
v 55 3 2
v 56 8 4
v 57 2 1
v 58 2 1
v 59 2 1
v 60 8 4
v 61 2 1
v 62 2 1
v 63 2 1
e 0 25 0
e 0 28 0
e 1 37 1
e 2 36 0
e 2 38 0
e 2 50 0
e 3 34 0
e 3 51 1
e 4 39 0
e 4 51 1
e 5 41 1
e 5 42 0
e 5 53 1
e 6 44 0
e 7 30 0
e 7 33 0
e 7 46 0
e 8 29 0
e 9 21 0
e 9 22 0
e 9 45 0
e 10 43 0
e 11 12 1
e 11 15 0
e 11 56 1
e 12 13 0
e 13 14 1
e 13 55 0
e 14 20 0
e 15 17 0
e 15 20 0
e 16 17 1
e 16 18 0
e 18 19 0
e 19 20 0
e 19 60 1
e 21 24 0
e 22 23 0
e 22 43 0
e 23 24 0
e 24 49 0
e 25 26 0
e 26 27 0
e 27 28 0
e 27 47 0
e 29 30 1
e 29 49 1
e 30 31 0
e 31 32 0
e 32 33 0
e 32 48 0
e 34 35 0
e 34 38 0
e 35 36 1
e 36 37 0
e 37 47 0
e 39 40 1
e 39 42 0
e 40 41 0
e 41 44 0
e 43 55 0
e 44 48 0
e 51 52 0
e 53 54 -1
e 56 57 0
e 56 58 0
e 56 59 1
e 60 61 0
e 60 62 0
e 60 63 0
