t 64 288
v 0 13 22
v 897 8 4
v 2 12 61
v 3 14 9
v 4 6 16
v 898 11 4
v 1414 5 2
v 6 4 7
v 1416 11 2
v 7 8 20
v 9 6 19
v 10 14 29
v 1036 5 9
v 401 0 13
v 1041 5 4
v 20 8 24
v 405 12 4
v 406 6 6
v 1046 6 4
v 24 12 12
v 153 13 2
v 925 6 2
v 926 0 3
v 415 6 12
v 1056 7 10
v 33 9 10
v 1058 2 4
v 291 2 2
v 41 13 25
v 1198 9 9
v 174 7 5
v 944 13 10
v 49 5 16
v 54 8 2
v 312 5 2
v 824 3 3
v 59 4 8
v 956 10 5
v 961 0 5
v 322 11 24
v 71 13 3
v 73 10 8
v 74 10 8
v 75 0 5
v 715 7 16
v 970 2 1
v 82 11 4
v 980 3 1
v 91 3 4
v 607 3 6
v 104 1 7
v 1000 14 10
v 1002 2 7
v 107 4 4
v 876 14 7
v 877 14 3
v 879 7 4
v 880 4 9
v 1007 3 13
v 884 10 4
v 885 9 5
v 1013 6 3
v 1272 10 5
v 1018 9 9
e 0 2 10
e 0 3 12
e 0 4 11
e 0 6 7
e 0 7 11
e 0 9 4
e 0 10 9
e 0 20 10
e 0 24 0
e 0 33 4
e 0 41 10
e 0 49 5
e 0 54 11
e 0 59 13
e 0 71 12
e 0 73 5
e 0 74 4
e 0 75 4
e 0 82 11
e 0 91 11
e 0 104 14
e 0 107 8
e 897 2 4
e 897 10 12
e 897 715 11
e 897 898 3
e 2 3 3
e 2 4 6
e 2 6 1
e 2 7 11
e 2 9 14
e 2 10 6
e 2 20 14
e 2 24 8
e 2 33 14
e 2 41 10
e 2 49 13
e 2 54 14
e 2 59 3
e 2 71 3
e 2 73 3
e 2 74 13
e 2 75 2
e 2 82 12
e 2 91 10
e 2 104 13
e 2 107 8
e 2 153 7
e 2 174 2
e 2 291 12
e 2 312 14
e 2 322 14
e 2 401 6
e 2 405 2
e 2 406 1
e 2 415 1
e 2 607 5
e 2 715 12
e 2 824 0
e 2 876 8
e 2 877 0
e 2 879 9
e 2 880 7
e 2 884 0
e 2 885 14
e 2 898 2
e 2 925 5
e 2 926 13
e 2 944 11
e 2 956 8
e 2 961 7
e 2 970 3
e 2 980 10
e 2 1000 1
e 2 1002 5
e 2 1007 10
e 2 1013 13
e 2 1018 12
e 2 1036 1
e 2 1041 0
e 2 1046 6
e 2 1056 4
e 2 1058 13
e 2 1198 4
e 2 1272 12
e 3 7 2
e 3 10 3
e 3 41 9
e 3 104 9
e 3 877 11
e 3 880 14
e 3 1000 6
e 4 7 10
e 4 9 6
e 4 10 9
e 4 20 5
e 4 41 5
e 4 49 0
e 4 322 10
e 4 401 3
e 4 406 8
e 4 607 6
e 4 956 0
e 4 1018 1
e 4 1041 9
e 4 1046 12
e 898 715 12
e 898 1056 8
e 1414 1198 12
e 1414 1272 3
e 6 7 9
e 6 10 11
e 6 20 0
e 6 401 14
e 6 1056 12
e 1416 1198 12
e 1416 1272 7
e 7 9 9
e 7 10 2
e 7 20 0
e 7 33 9
e 7 41 8
e 7 49 1
e 7 82 6
e 7 405 3
e 7 415 10
e 7 607 5
e 7 715 13
e 7 876 6
e 7 880 1
e 7 1018 12
e 7 1198 6
e 9 10 3
e 9 20 13
e 9 24 9
e 9 33 5
e 9 41 2
e 9 74 8
e 9 174 14
e 9 312 2
e 9 401 9
e 9 415 10
e 9 715 3
e 9 1002 4
e 9 1007 9
e 9 1036 14
e 9 1056 12
e 10 20 3
e 10 24 1
e 10 41 5
e 10 49 13
e 10 59 4
e 10 104 8
e 10 107 7
e 10 174 12
e 10 291 0
e 10 322 10
e 10 406 12
e 10 607 11
e 10 715 2
e 10 876 6
e 10 944 10
e 10 956 9
e 10 1000 4
e 10 1007 2
e 10 1036 3
e 10 1046 7
e 10 1056 1
e 1036 41 9
e 1036 322 5
e 1036 401 1
e 1036 961 8
e 1036 1007 2
e 1036 1041 10
e 401 49 5
e 401 406 2
e 401 1000 3
e 401 1002 8
e 401 1007 1
e 401 1018 10
e 401 1198 7
e 401 1272 13
e 1041 322 6
e 20 24 4
e 20 41 8
e 20 49 7
e 20 59 1
e 20 71 5
e 20 73 13
e 20 74 4
e 20 75 2
e 20 91 12
e 20 322 3
e 20 415 4
e 20 880 0
e 20 884 1
e 20 885 11
e 20 944 13
e 20 1000 10
e 20 1056 7
e 405 41 12
e 405 880 12
e 406 824 7
e 406 1056 8
e 1046 322 12
e 24 49 10
e 24 74 8
e 24 75 1
e 24 715 10
e 24 925 14
e 24 1018 0
e 24 1058 3
e 153 880 11
e 926 41 7
e 926 961 5
e 415 59 10
e 415 174 7
e 415 322 11
e 415 715 6
e 415 879 12
e 415 956 8
e 415 961 13
e 415 1007 1
e 1056 49 3
e 1056 322 8
e 1056 1007 14
e 33 41 10
e 33 104 14
e 33 322 11
e 33 607 5
e 33 944 1
e 33 1007 8
e 1058 41 4
e 1058 322 11
e 41 49 5
e 41 59 7
e 41 73 5
e 41 74 9
e 41 75 12
e 41 107 13
e 41 174 7
e 41 322 3
e 41 715 3
e 41 879 9
e 41 885 9
e 41 1007 8
e 1198 1000 3
e 1198 1002 1
e 1198 1018 8
e 1198 1272 14
e 944 49 5
e 944 322 12
e 944 1000 5
e 944 1002 7
e 944 1007 10
e 944 1013 12
e 49 73 1
e 49 82 13
e 49 91 3
e 49 104 4
e 49 322 14
e 824 322 5
e 59 74 14
e 59 961 10
e 956 322 9
e 322 73 9
e 322 876 8
e 322 885 0
e 322 1000 9
e 322 1002 3
e 322 1007 3
e 322 1013 12
e 322 1018 3
e 73 74 13
e 73 715 13
e 715 876 2
e 715 877 10
e 715 879 0
e 715 880 6
e 715 884 10
e 715 885 8
e 607 880 1
e 104 884 11
e 1000 1002 6
e 1000 1007 4
e 876 1007 4
e 876 1018 0
e 880 1018 3
