t 64 160
v 644 2 9
v 4 6 9
v 901 8 2
v 646 6 2
v 2184 5 1
v 9 6 14
v 10 14 14
v 1418 0 3
v 652 7 3
v 2311 2 1
v 15 5 8
v 1423 0 4
v 2194 10 5
v 915 1 3
v 1555 2 2
v 2199 0 3
v 24 12 5
v 2200 2 1
v 1786 8 1
v 1056 7 5
v 1184 12 3
v 1192 2 9
v 41 13 13
v 1450 13 4
v 1195 1 12
v 1451 6 5
v 429 1 5
v 558 11 4
v 1198 9 3
v 1837 8 4
v 1458 2 2
v 2101 13 1
v 1719 5 8
v 58 8 5
v 2107 11 5
v 1724 2 3
v 1213 8 8
v 1212 11 3
v 1603 10 2
v 1733 10 2
v 7622 2 1
v 7623 5 1
v 2245 0 2
v 1610 5 39
v 334 9 1
v 1235 1 5
v 2132 14 3
v 1754 11 4
v 1755 11 1
v 2778 5 2
v 2660 8 22
v 1509 6 1
v 1254 4 3
v 871 5 8
v 490 7 4
v 887 14 3
v 1779 7 3
v 1012 5 3
v 1780 6 8
v 1781 0 2
v 1783 8 1
v 1784 14 4
v 1785 4 2
v 1782 4 1
e 644 15 10
e 644 41 2
e 644 646 1
e 644 1837 10
e 644 2107 6
e 644 2199 0
e 644 2245 10
e 644 2660 10
e 644 2778 4
e 4 9 6
e 4 10 9
e 4 15 5
e 4 41 5
e 4 871 11
e 4 1192 11
e 4 1195 4
e 4 1450 2
e 4 1610 7
e 901 490 2
e 901 2660 1
e 646 2660 8
e 2184 2660 3
e 9 10 3
e 9 15 5
e 9 24 9
e 9 41 2
e 9 429 12
e 9 1056 12
e 9 1192 13
e 9 1195 8
e 9 1213 12
e 9 1235 2
e 9 1423 8
e 9 1610 7
e 9 1780 9
e 10 15 8
e 10 24 1
e 10 41 5
e 10 1056 1
e 10 1192 1
e 10 1195 1
e 10 1213 13
e 10 1235 13
e 10 1254 6
e 10 1423 2
e 10 1451 1
e 10 1610 0
e 1418 915 11
e 1418 1724 10
e 1418 2660 5
e 652 1212 13
e 652 1779 11
e 652 2660 12
e 2311 2660 0
e 15 41 5
e 15 58 11
e 15 1195 8
e 15 1610 13
e 1423 1610 3
e 1423 1780 14
e 2194 1837 9
e 2194 2107 5
e 2194 2132 7
e 2194 2199 4
e 2194 2660 11
e 915 41 13
e 915 1610 2
e 1555 1610 7
e 1555 1785 9
e 2199 2660 2
e 24 1012 11
e 24 1610 8
e 24 1780 2
e 2200 2660 5
e 1786 1610 0
e 1056 1213 0
e 1056 1235 0
e 1056 1610 13
e 1184 41 3
e 1184 1213 7
e 1184 1610 10
e 1192 429 6
e 1192 1198 14
e 1192 1212 14
e 1192 1213 5
e 1192 1610 4
e 1192 1719 2
e 41 490 1
e 41 887 14
e 41 1195 4
e 41 1213 8
e 41 1235 4
e 41 1610 8
e 1450 871 6
e 1450 1451 3
e 1450 1610 9
e 1195 429 8
e 1195 871 0
e 1195 1198 12
e 1195 1610 6
e 1195 1719 9
e 1195 1754 11
e 1195 1780 3
e 1451 1610 0
e 1451 1719 11
e 1451 1780 0
e 429 1719 6
e 429 2660 0
e 558 1610 4
e 558 1719 4
e 558 1780 0
e 558 1781 14
e 1198 1610 11
e 1837 2107 10
e 1837 2660 8
e 1458 1610 1
e 1458 1754 4
e 2101 2660 4
e 1719 871 14
e 1719 1610 12
e 1719 1780 11
e 58 871 5
e 58 1254 12
e 58 1610 1
e 58 1754 4
e 2107 2132 10
e 2107 2660 13
e 1724 871 13
e 1724 1610 7
e 1213 887 0
e 1213 1610 11
e 1212 2660 14
e 1603 1779 6
e 1603 2660 6
e 1733 871 5
e 1733 1610 14
e 7622 1784 11
e 7623 1784 10
e 2245 2660 14
e 1610 490 12
e 1610 871 14
e 1610 887 4
e 1610 1012 6
e 1610 1235 11
e 1610 1254 8
e 1610 1754 10
e 1610 1755 11
e 1610 1779 0
e 1610 1780 1
e 1610 1781 13
e 1610 1782 9
e 1610 1783 13
e 1610 1784 14
e 1610 1785 6
e 334 2660 8
e 2132 2660 12
e 2778 2660 8
e 2660 1509 5
e 2660 1784 11
e 490 1012 3
