t 16 23
v 6080 6 3
v 3972 12 2
v 3624 7 10
v 3625 12 4
v 3498 4 3
v 2893 11 3
v 719 14 1
v 912 1 2
v 4208 13 2
v 4210 13 2
v 534 13 1
v 4886 10 2
v 3929 3 1
v 765 7 2
v 5022 10 2
v 7039 9 6
e 6080 2893 6
e 6080 4886 10
e 6080 7039 1
e 3972 3624 3
e 3972 3625 14
e 3624 534 3
e 3624 765 13
e 3624 2893 7
e 3624 3498 6
e 3624 4208 4
e 3624 4210 3
e 3624 4886 9
e 3624 5022 10
e 3624 7039 12
e 3625 2893 3
e 3625 3498 8
e 3625 7039 3
e 3498 765 5
e 719 912 5
e 912 7039 1
e 4208 5022 9
e 4210 7039 3
e 3929 7039 13
