t 32 40
v 386 8 1
v 388 7 1
v 393 0 1
v 275 11 1
v 539 6 1
v 284 3 1
v 27 12 1
v 28 4 2
v 30 8 1
v 161 8 2
v 5410 3 1
v 165 3 2
v 44 7 2
v 46 1 1
v 689 11 29
v 2227 1 1
v 54 8 2
v 439 2 2
v 65 0 2
v 322 11 3
v 451 12 2
v 326 0 4
v 74 10 3
v 330 3 1
v 331 12 2
v 87 3 1
v 476 5 1
v 349 13 1
v 95 8 1
v 3820 7 3
v 120 4 1
v 254 4 3
e 386 689 4
e 388 689 1
e 393 689 5
e 275 689 7
e 539 689 10
e 284 689 1
e 27 689 2
e 28 74 1
e 28 689 8
e 30 689 5
e 161 439 3
e 161 689 1
e 5410 3820 7
e 165 451 11
e 165 689 8
e 44 331 4
e 44 689 1
e 46 689 11
e 689 54 10
e 689 65 2
e 689 74 12
e 689 87 13
e 689 95 7
e 689 120 6
e 689 254 5
e 689 322 5
e 689 326 3
e 689 330 2
e 689 331 4
e 689 349 1
e 689 439 10
e 689 451 12
e 689 476 12
e 689 3820 9
e 2227 3820 0
e 54 326 5
e 65 322 13
e 322 326 9
e 326 254 14
e 74 254 10
