t 64 103
v 2176 5 3
v 769 4 2
v 2306 5 1
v 3456 7 2
v 901 8 1
v 12 13 3
v 3468 0 1
v 1038 3 6
v 8721 2 1
v 401 0 5
v 402 12 3
v 1531 3 2
v 536 11 3
v 540 13 1
v 285 12 4
v 2208 0 9
v 544 1 6
v 420 3 4
v 682 12 4
v 683 2 2
v 1195 1 2
v 1835 10 5
v 3242 2 1
v 688 11 3
v 8240 14 2
v 1458 2 2
v 8241 2 1
v 8242 0 2
v 8243 11 1
v 8244 8 1
v 7349 8 10
v 4147 4 2
v 5431 12 1
v 8116 14 2
v 54 8 6
v 1204 5 3
v 571 9 5
v 3899 6 11
v 2492 11 1
v 1336 11 1
v 8511 7 2
v 2110 6 2
v 6448 1 2
v 3266 0 2
v 1603 10 3
v 3395 7 5
v 1221 11 2
v 1482 8 8
v 1740 13 2
v 2637 7 3
v 5582 4 2
v 727 12 17
v 7135 6 1
v 4068 5 8
v 7399 8 1
v 364 14 2
v 493 5 5
v 2159 12 2
v 2034 9 1
v 504 4 4
v 507 12 1
v 253 13 1
v 510 1 4
v 3583 3 1
e 2176 54 4
e 2176 1835 2
e 2176 3899 3
e 769 1835 12
e 769 2208 7
e 2306 2208 13
e 3456 3266 0
e 3456 3899 4
e 901 4068 7
e 12 54 2
e 12 536 2
e 12 1482 1
e 3468 3899 13
e 1038 493 13
e 1038 544 12
e 1038 571 8
e 1038 1740 9
e 1038 3395 13
e 1038 3899 3
e 8721 727 12
e 401 402 4
e 401 1195 0
e 401 1204 8
e 401 1458 10
e 401 1482 0
e 402 1204 14
e 402 1482 2
e 1531 285 8
e 1531 727 3
e 536 504 11
e 536 8242 10
e 540 4068 10
e 285 253 5
e 285 727 1
e 285 4147 1
e 2208 420 3
e 2208 1336 13
e 2208 1835 12
e 2208 2110 10
e 2208 2159 12
e 2208 2637 0
e 2208 7349 2
e 544 364 5
e 544 510 13
e 544 727 5
e 544 1221 9
e 544 3395 4
e 420 493 9
e 420 1835 5
e 420 2637 6
e 682 510 14
e 682 571 5
e 682 688 1
e 682 727 1
e 683 510 5
e 683 727 0
e 1195 1482 12
e 1835 2637 9
e 3242 5582 0
e 688 54 4
e 688 4068 0
e 8240 7349 11
e 8240 8511 0
e 1458 1482 7
e 8241 7349 1
e 8242 7349 6
e 8243 7349 3
e 8244 7349 12
e 7349 727 2
e 7349 1482 13
e 7349 3899 6
e 7349 4068 12
e 4147 727 5
e 5431 727 8
e 8116 571 5
e 8116 727 3
e 54 493 4
e 54 1482 11
e 54 6448 12
e 1204 1482 5
e 571 504 4
e 571 727 9
e 3899 493 4
e 3899 504 9
e 3899 507 8
e 3899 1221 0
e 3899 1603 9
e 3899 3266 3
e 2492 727 3
e 8511 5582 1
e 2110 2159 2
e 6448 4068 2
e 1603 493 12
e 1603 3395 11
e 3395 504 1
e 3395 4068 4
e 1740 727 10
e 727 364 3
e 727 2034 4
e 727 3583 1
e 727 7135 12
e 4068 510 14
e 4068 7399 2
