t 32 129
v 0 13 22
v 2 12 30
v 3 14 6
v 4 6 10
v 6 4 6
v 7 8 13
v 9 6 13
v 10 14 17
v 401 0 5
v 20 8 17
v 405 12 3
v 24 12 8
v 153 13 1
v 33 9 7
v 291 2 2
v 41 13 18
v 174 7 4
v 49 5 14
v 54 8 2
v 312 5 2
v 59 4 6
v 322 11 8
v 71 13 3
v 73 10 7
v 74 10 8
v 75 0 5
v 82 11 4
v 91 3 4
v 4712 9 1
v 104 1 6
v 107 4 4
v 1279 11 2
e 0 2 10
e 0 3 12
e 0 4 11
e 0 6 7
e 0 7 11
e 0 9 4
e 0 10 9
e 0 20 10
e 0 24 0
e 0 33 4
e 0 41 10
e 0 49 5
e 0 54 11
e 0 59 13
e 0 71 12
e 0 73 5
e 0 74 4
e 0 75 4
e 0 82 11
e 0 91 11
e 0 104 14
e 0 107 8
e 2 3 3
e 2 4 6
e 2 6 1
e 2 7 11
e 2 9 14
e 2 10 6
e 2 20 14
e 2 24 8
e 2 33 14
e 2 41 10
e 2 49 13
e 2 54 14
e 2 59 3
e 2 71 3
e 2 73 3
e 2 74 13
e 2 75 2
e 2 82 12
e 2 91 10
e 2 104 13
e 2 107 8
e 2 153 7
e 2 174 2
e 2 291 12
e 2 312 14
e 2 322 14
e 2 401 6
e 2 405 2
e 2 1279 7
e 3 7 2
e 3 10 3
e 3 41 9
e 3 104 9
e 4 7 10
e 4 9 6
e 4 10 9
e 4 20 5
e 4 41 5
e 4 49 0
e 4 322 10
e 4 401 3
e 6 7 9
e 6 10 11
e 6 20 0
e 6 401 14
e 7 9 9
e 7 10 2
e 7 20 0
e 7 33 9
e 7 41 8
e 7 49 1
e 7 82 6
e 7 405 3
e 9 10 3
e 9 20 13
e 9 24 9
e 9 33 5
e 9 41 2
e 9 74 8
e 9 174 14
e 9 312 2
e 9 401 9
e 10 20 3
e 10 24 1
e 10 41 5
e 10 49 13
e 10 59 4
e 10 104 8
e 10 107 7
e 10 174 12
e 10 291 0
e 10 322 10
e 401 49 5
e 20 24 4
e 20 41 8
e 20 49 7
e 20 59 1
e 20 71 5
e 20 73 13
e 20 74 4
e 20 75 2
e 20 91 12
e 20 322 3
e 405 41 12
e 24 49 10
e 24 74 8
e 24 75 1
e 33 41 10
e 33 104 14
e 33 322 11
e 41 49 5
e 41 59 7
e 41 73 5
e 41 74 9
e 41 75 12
e 41 107 13
e 41 174 7
e 41 322 3
e 49 73 1
e 49 82 13
e 49 91 3
e 49 104 4
e 49 322 14
e 59 74 14
e 322 73 9
e 73 74 13
e 4712 1279 0
