t 32 46
v 256 3 3
v 265 7 4
v 2826 5 3
v 395 0 1
v 2315 2 2
v 16 9 2
v 534 13 1
v 920 0 2
v 2203 0 1
v 2465 5 1
v 290 13 1
v 546 8 2
v 1826 4 1
v 550 5 4
v 1832 14 3
v 298 7 3
v 947 5 2
v 1846 5 2
v 326 0 6
v 1864 6 2
v 841 1 1
v 1612 13 1
v 2125 5 1
v 2508 3 1
v 1615 2 2
v 343 2 29
v 90 3 1
v 353 9 2
v 490 7 1
v 619 12 3
v 4081 12 2
v 767 4 2
e 256 343 7
e 256 1832 9
e 256 1864 8
e 265 326 2
e 265 343 3
e 265 546 11
e 265 550 9
e 2826 343 7
e 2826 947 3
e 2826 4081 13
e 395 343 3
e 2315 343 4
e 2315 4081 11
e 16 343 11
e 16 550 8
e 534 343 3
e 920 326 8
e 920 343 0
e 2203 343 14
e 2465 343 0
e 290 343 7
e 546 343 4
e 1826 343 7
e 550 343 12
e 550 619 14
e 1832 343 7
e 1832 1846 13
e 298 326 4
e 298 343 4
e 298 353 5
e 947 767 1
e 1846 343 2
e 326 343 9
e 326 619 3
e 326 1615 9
e 1864 343 14
e 841 343 3
e 1612 343 6
e 2125 343 1
e 2508 343 14
e 1615 343 0
e 343 90 3
e 343 353 0
e 343 490 0
e 343 619 10
e 343 767 2
