t 32 35
v 0 1 3
v 1 1 3
v 2 1 3
v 3 1 2
v 4 1 3
v 5 1 3
v 6 1 2
v 7 1 3
v 8 1 3
v 9 1 3
v 10 1 3
v 11 1 3
v 12 1 2
v 13 1 3
v 14 1 3
v 15 1 3
v 16 1 2
v 17 1 3
v 18 1 2
v 19 1 1
v 20 1 1
v 21 1 2
v 22 1 3
v 23 1 2
v 24 3 2
v 25 2 1
v 26 1 1
v 27 1 1
v 28 1 1
v 29 2 1
v 30 2 1
v 31 2 1
e 0 1 0
e 0 5 0
e 0 6 1
e 1 2 0
e 1 13 0
e 2 3 0
e 2 31 0
e 3 4 0
e 4 5 1
e 4 30 1
e 5 8 0
e 6 7 0
e 7 24 0
e 7 27 1
e 8 24 0
e 8 28 1
e 9 10 0
e 9 14 0
e 9 15 0
e 10 11 1
e 10 29 0
e 11 12 0
e 11 22 0
e 12 13 0
e 13 14 1
e 14 18 1
e 15 16 0
e 15 25 0
e 16 17 1
e 17 18 0
e 17 26 0
e 19 23 0
e 20 21 0
e 21 22 0
e 22 23 1
