t 24 95
v 0 0 5
v 1 3 5
v 2 66 19
v 3 1 5
v 4 2 5
v 5 0 5
v 6 6 19
v 7 15 19
v 8 1 5
v 9 2 5
v 10 82 19
v 11 0 5
v 12 1 5
v 13 2 5
v 14 3 5
v 15 62 19
v 16 1 5
v 17 1 5
v 18 2 5
v 19 1 5
v 20 2 5
v 21 0 5
v 22 3 5
v 23 1 5
e 0 6 245
e 0 2 287
e 0 15 172
e 0 7 123
e 0 10 99
e 1 15 99
e 1 6 12
e 1 7 216
e 1 2 34
e 1 10 64
e 2 4 88
e 2 20 169
e 2 5 299
e 2 21 237
e 2 17 4
e 2 16 126
e 2 12 30
e 2 14 255
e 2 23 302
e 2 11 282
e 2 8 102
e 2 19 101
e 2 22 7
e 2 9 54
e 2 13 60
e 2 18 62
e 2 3 157
e 3 15 261
e 3 6 197
e 3 7 303
e 3 10 98
e 4 15 89
e 4 7 126
e 4 10 148
e 4 6 67
e 5 6 187
e 5 10 14
e 5 15 2
e 5 7 234
e 6 17 307
e 6 8 271
e 6 11 151
e 6 13 126
e 6 19 241
e 6 14 15
e 6 23 219
e 6 18 305
e 6 20 165
e 6 16 82
e 6 22 296
e 6 21 94
e 6 12 192
e 6 9 61
e 7 20 152
e 7 18 141
e 7 19 222
e 7 13 261
e 7 9 297
e 7 17 87
e 7 8 151
e 7 22 136
e 7 21 272
e 7 14 1
e 7 11 297
e 7 23 189
e 7 12 23
e 7 16 133
e 8 10 220
e 8 15 293
e 9 15 117
e 9 10 8
e 10 20 3
e 10 16 129
e 10 19 153
e 10 13 151
e 10 23 65
e 10 12 78
e 10 22 39
e 10 14 186
e 10 21 290
e 10 11 213
e 10 17 177
e 10 18 185
e 11 15 266
e 12 15 181
e 13 15 307
e 14 15 99
e 15 16 180
e 15 17 150
e 15 22 232
e 15 23 207
e 15 19 108
e 15 21 135
e 15 18 249
e 15 20 148
