t 64 855
v 0 55 19
v 1 3 45
v 2 1 45
v 3 20 19
v 4 3 45
v 5 57 19
v 6 1 45
v 7 81 19
v 8 80 19
v 9 54 19
v 10 22 19
v 11 1 19
v 12 38 19
v 13 0 45
v 14 21 19
v 15 74 19
v 16 1 45
v 17 79 19
v 18 1 45
v 19 16 19
v 20 97 19
v 21 61 19
v 22 1 45
v 23 96 19
v 24 69 19
v 25 1 45
v 26 3 45
v 27 12 19
v 28 57 19
v 29 1 45
v 30 13 19
v 31 49 19
v 32 2 45
v 33 53 19
v 34 3 19
v 35 0 45
v 36 96 19
v 37 99 19
v 38 36 19
v 39 0 45
v 40 20 19
v 41 72 19
v 42 48 19
v 43 1 45
v 44 24 19
v 45 25 19
v 46 57 19
v 47 3 45
v 48 86 19
v 49 32 19
v 50 53 19
v 51 62 19
v 52 1 45
v 53 64 19
v 54 1 45
v 55 2 45
v 56 53 19
v 57 0 19
v 58 40 19
v 59 2 19
v 60 55 19
v 61 35 19
v 62 25 19
v 63 18 19
e 0 4 28
e 0 35 129
e 0 13 222
e 0 52 147
e 0 16 179
e 0 6 229
e 0 26 130
e 0 47 266
e 0 55 191
e 0 22 153
e 0 32 93
e 0 25 295
e 0 18 170
e 0 2 222
e 0 43 220
e 0 1 216
e 0 54 248
e 0 39 152
e 0 29 118
e 1 63 138
e 1 49 137
e 1 14 170
e 1 27 217
e 1 8 247
e 1 11 55
e 1 60 118
e 1 33 64
e 1 56 65
e 1 51 143
e 1 61 19
e 1 38 287
e 1 48 176
e 1 17 298
e 1 40 23
e 1 41 234
e 1 3 63
e 1 34 208
e 1 57 298
e 1 46 249
e 1 36 224
e 1 28 251
e 1 19 125
e 1 9 276
e 1 58 210
e 1 31 161
e 1 20 109
e 1 44 231
e 1 5 193
e 1 45 70
e 1 24 154
e 1 37 214
e 1 50 149
e 1 10 14
e 1 62 11
e 1 12 165
e 1 23 48
e 1 30 184
e 1 21 180
e 1 15 178
e 1 7 29
e 1 59 209
e 1 53 54
