t 64 855
v 0 2 45
v 1 31 19
v 2 77 19
v 3 3 45
v 4 37 19
v 5 1 45
v 6 12 19
v 7 20 19
v 8 3 45
v 9 15 19
v 10 14 19
v 11 39 19
v 12 44 19
v 13 3 45
v 14 31 19
v 15 39 19
v 16 2 45
v 17 1 45
v 18 2 45
v 19 1 19
v 20 49 19
v 21 71 19
v 22 3 45
v 23 68 19
v 24 3 45
v 25 77 19
v 26 1 19
v 27 90 19
v 28 0 45
v 29 11 19
v 30 57 19
v 31 56 19
v 32 61 19
v 33 0 45
v 34 82 19
v 35 3 45
v 36 92 19
v 37 1 45
v 38 55 19
v 39 67 19
v 40 64 19
v 41 0 45
v 42 0 45
v 43 93 19
v 44 83 19
v 45 56 19
v 46 2 19
v 47 11 19
v 48 0 45
v 49 60 19
v 50 10 19
v 51 4 19
v 52 0 45
v 53 89 19
v 54 44 19
v 55 65 19
v 56 2 45
v 57 38 19
v 58 68 19
v 59 99 19
v 60 35 19
v 61 77 19
v 62 83 19
v 63 24 19
e 0 49 120
e 0 38 64
e 0 27 127
e 0 51 291
e 0 4 135
e 0 58 220
e 0 10 253
e 0 62 58
e 0 54 265
e 0 57 280
e 0 25 15
e 0 63 147
e 0 19 8
e 0 47 17
e 0 40 305
e 0 15 299
e 0 39 305
e 0 9 47
e 0 30 181
e 0 29 187
e 0 45 288
e 0 20 208
e 0 43 141
e 0 6 183
e 0 53 293
e 0 21 174
e 0 34 226
e 0 7 36
e 0 44 182
e 0 1 94
e 0 11 302
e 0 61 6
e 0 50 163
e 0 36 242
e 0 12 75
e 0 46 246
e 0 26 111
e 0 2 135
e 0 60 241
e 0 55 121
e 0 14 116
e 0 31 134
e 0 59 107
e 0 23 297
e 0 32 166
e 1 35 303
e 1 37 301
e 1 56 168
e 1 33 91
e 1 3 199
e 1 52 97
e 1 17 192
e 1 24 187
e 1 48 204
e 1 16 221
e 1 42 202
e 1 22 141
e 1 8 185
e 1 41 185
e 1 28 209
e 1 5 110
e 1 18 281
e 1 13 153
e 2 35 190
e 2 42 202
e 2 52 225
e 2 56 18
e 2 33 201
e 2 28 161
e 2 22 26
e 2 18 103
e 2 3 16
e 2 5 75
e 2 41 145
e 2 16 12
e 2 48 276
e 2 24 206
e 2 8 102
e 2 17 12
e 2 37 68
e 2 13 137
e 3 57 28
e 3 30 171
e 3 9 282
e 3 63 47
e 3 4 176
e 3 20 292
e 3 34 49
e 3 10 59
e 3 59 27
e 3 54 251
e 3 29 120
e 3 62 180
e 3 27 82
e 3 58 199
e 3 39 295
e 3 21 47
e 3 38 102
e 3 15 77
e 3 12 247
e 3 55 120
e 3 53 303
e 3 40 298
e 3 45 50
e 3 36 274
e 3 25 286
e 3 46 261
e 3 43 247
e 3 51 283
e 3 19 187
e 3 26 299
e 3 61 30
