t 24 95
v 0 0 5
v 1 3 5
v 2 2 5
v 3 2 5
v 4 2 5
v 5 0 5
v 6 23 19
v 7 3 5
v 8 1 5
v 9 3 5
v 10 2 5
v 11 2 5
v 12 51 19
v 13 0 5
v 14 2 5
v 15 0 5
v 16 0 5
v 17 65 19
v 18 2 5
v 19 83 19
v 20 2 5
v 21 0 5
v 22 35 19
v 23 1 5
e 0 22 0
e 0 17 55
e 0 12 110
e 0 6 52
e 0 19 115
e 1 17 128
e 1 19 172
e 1 6 262
e 1 12 131
e 1 22 299
e 2 12 118
e 2 19 267
e 2 22 252
e 2 6 259
e 2 17 154
e 3 22 147
e 3 12 25
e 3 19 232
e 3 17 131
e 3 6 114
e 4 6 57
e 4 12 156
e 4 19 296
e 4 17 0
e 4 22 2
e 5 17 281
e 5 6 8
e 5 22 264
e 5 19 42
e 5 12 62
e 6 23 27
e 6 18 130
e 6 20 117
e 6 11 249
e 6 7 14
e 6 13 136
e 6 15 132
e 6 14 283
e 6 9 193
e 6 16 198
e 6 8 240
e 6 21 122
e 6 10 95
e 7 17 174
e 7 19 185
e 7 12 127
e 7 22 243
e 8 22 39
e 8 19 189
e 8 17 85
e 8 12 66
e 9 12 235
e 9 19 51
e 9 22 271
e 9 17 78
e 10 12 117
e 10 19 49
e 10 17 291
e 10 22 72
e 11 17 0
e 11 22 191
e 11 19 233
e 11 12 114
e 12 20 175
e 12 23 48
e 12 14 154
e 12 21 248
e 12 18 120
e 12 16 82
e 12 15 222
e 12 13 300
e 13 22 239
e 13 19 6
e 13 17 166
e 14 17 124
e 14 22 77
e 14 19 119
e 15 22 63
e 15 17 114
e 15 19 159
e 16 22 107
e 16 19 220
e 16 17 304
e 17 20 286
e 17 23 274
e 17 21 222
e 17 18 239
e 18 22 200
e 18 19 10
e 19 21 41
e 19 20 206
e 19 23 40
e 20 22 246
e 21 22 192
e 22 23 66
