t 32 247
v 0 1 13
v 1 3 13
v 2 47 19
v 3 3 13
v 4 1 13
v 5 1 13
v 6 38 19
v 7 2 13
v 8 1 13
v 9 3 13
v 10 1 13
v 11 4 19
v 12 15 19
v 13 42 19
v 14 2 13
v 15 45 19
v 16 36 19
v 17 0 13
v 18 2 13
v 19 3 13
v 20 42 19
v 21 59 19
v 22 3 13
v 23 0 13
v 24 75 19
v 25 0 13
v 26 1 13
v 27 3 13
v 28 58 19
v 29 43 19
v 30 86 19
v 31 3 13
e 0 12 170
e 0 15 108
e 0 28 23
e 0 20 197
e 0 21 43
e 0 30 185
e 0 16 18
e 0 2 42
e 0 6 262
e 0 13 62
e 0 29 222
e 0 11 144
e 0 24 97
e 1 20 280
e 1 13 42
e 1 21 75
e 1 16 132
e 1 15 282
e 1 29 121
e 1 28 146
e 1 2 15
e 1 11 285
e 1 6 130
e 1 24 92
e 1 30 245
e 1 12 45
e 2 31 199
e 2 3 114
e 2 14 293
e 2 5 124
e 2 26 292
e 2 25 295
e 2 19 208
e 2 8 249
e 2 22 282
e 2 10 261
e 2 7 114
e 2 23 216
e 2 9 114
e 2 17 117
e 2 27 95
e 2 4 153
e 2 18 100
e 3 29 140
e 3 13 83
e 3 11 263
e 3 28 180
e 3 30 79
e 3 20 304
e 3 12 297
e 3 15 158
e 3 24 94
e 3 21 279
e 3 6 65
e 3 16 259
e 4 12 46
e 4 16 138
e 4 13 26
e 4 15 152
e 4 28 192
e 4 29 134
e 4 6 15
e 4 21 138
e 4 30 228
e 4 24 146
e 4 11 102
e 4 20 288
e 5 11 162
e 5 20 291
e 5 12 184
e 5 30 38
e 5 21 174
e 5 13 134
e 5 29 63
e 5 28 240
e 5 6 198
e 5 16 196
e 5 24 60
e 5 15 110
e 6 31 258
e 6 25 251
e 6 22 208
e 6 18 223
e 6 19 215
e 6 27 226
e 6 26 138
e 6 23 263
e 6 9 22
e 6 14 219
e 6 8 101
e 6 17 66
e 6 7 43
e 6 10 7
e 7 20 131
e 7 11 116
e 7 24 202
e 7 16 175
e 7 21 291
e 7 30 86
e 7 29 33
e 7 13 184
e 7 15 110
e 7 12 129
e 7 28 285
e 8 30 287
e 8 28 182
e 8 12 118
e 8 29 43
e 8 16 131
e 8 13 271
e 8 20 271
e 8 24 227
e 8 21 85
e 8 11 172
e 8 15 171
e 9 16 237
e 9 11 118
e 9 28 274
e 9 24 217
e 9 21 275
e 9 12 4
e 9 15 236
e 9 29 150
e 9 30 298
e 9 13 121
e 9 20 56
e 10 15 94
e 10 20 97
e 10 16 168
e 10 12 69
e 10 28 239
e 10 29 100
e 10 24 276
e 10 11 53
e 10 30 1
e 10 13 161
e 10 21 78
e 11 31 157
e 11 27 112
e 11 22 297
e 11 14 27
e 11 26 97
e 11 17 105
e 11 18 79
e 11 19 64
e 11 23 217
e 11 25 87
e 12 26 205
e 12 31 25
e 12 27 103
e 12 25 151
e 12 18 121
e 12 19 124
e 12 23 258
e 12 14 170
e 12 22 274
e 12 17 280
e 13 31 171
e 13 14 165
e 13 22 109
e 13 27 144
e 13 23 39
e 13 26 8
e 13 25 118
e 13 19 295
e 13 18 212
e 13 17 233
e 14 15 16
e 14 16 228
e 14 29 216
e 14 30 212
e 14 20 276
e 14 28 109
e 14 21 291
e 14 24 30
e 15 31 11
e 15 18 80
e 15 22 210
e 15 27 130
e 15 26 64
e 15 17 50
e 15 19 36
e 15 25 41
e 15 23 58
e 16 31 130
e 16 19 55
e 16 26 197
e 16 25 282
e 16 22 7
e 16 18 100
e 16 27 296
e 16 23 302
e 16 17 63
e 17 29 235
e 17 28 285
e 17 21 86
e 17 30 16
e 17 24 289
e 17 20 44
e 18 29 147
e 18 28 284
e 18 24 177
e 18 21 198
e 18 20 97
e 18 30 179
e 19 30 302
e 19 20 121
e 19 21 34
e 19 28 132
e 19 29 305
e 19 24 288
e 20 31 129
e 20 27 267
e 20 26 243
e 20 23 134
e 20 25 244
e 20 22 32
e 21 31 269
e 21 22 136
e 21 23 224
e 21 25 162
e 21 27 97
e 21 26 24
e 22 29 34
e 22 30 111
e 22 24 13
e 22 28 2
e 23 30 148
e 23 24 289
e 23 29 252
e 23 28 214
e 24 31 212
e 24 27 72
e 24 26 207
e 24 25 79
e 25 29 73
e 25 30 215
e 25 28 261
e 26 28 4
e 26 29 114
e 26 30 44
e 27 28 158
e 27 29 33
e 27 30 227
e 28 31 5
e 29 31 139
e 30 31 175
