t 24 95
v 0 0 5
v 1 1 5
v 2 53 19
v 3 2 5
v 4 0 19
v 5 1 5
v 6 2 5
v 7 1 5
v 8 0 5
v 9 0 5
v 10 0 5
v 11 0 5
v 12 0 5
v 13 41 19
v 14 3 5
v 15 1 5
v 16 54 19
v 17 1 5
v 18 81 19
v 19 2 5
v 20 2 5
v 21 3 5
v 22 2 5
v 23 2 5
e 0 16 183
e 0 13 242
e 0 4 98
e 0 2 90
e 0 18 155
e 1 16 258
e 1 4 11
e 1 13 25
e 1 18 205
e 1 2 223
e 2 3 6
e 2 10 145
e 2 7 25
e 2 19 91
e 2 21 226
e 2 22 7
e 2 8 278
e 2 23 50
e 2 9 300
e 2 20 82
e 2 15 209
e 2 12 116
e 2 6 205
e 2 5 200
e 2 14 230
e 2 11 14
e 2 17 117
e 3 4 203
e 3 16 79
e 3 13 177
e 3 18 265
e 4 20 143
e 4 10 50
e 4 15 105
e 4 22 184
e 4 17 283
e 4 21 285
e 4 5 106
e 4 12 136
e 4 9 281
e 4 6 240
e 4 8 247
e 4 23 139
e 4 7 5
e 4 19 21
e 4 11 14
e 4 14 218
e 5 18 59
e 5 13 3
e 5 16 290
e 6 13 45
e 6 16 104
e 6 18 48
e 7 13 134
e 7 16 105
e 7 18 196
e 8 16 84
e 8 13 196
e 8 18 120
e 9 13 278
e 9 18 160
e 9 16 160
e 10 18 303
e 10 16 25
e 10 13 92
e 11 16 20
e 11 18 63
e 11 13 159
e 12 16 28
e 12 18 80
e 12 13 306
e 13 20 287
e 13 19 34
e 13 23 95
e 13 17 248
e 13 21 249
e 13 22 15
e 13 15 205
e 13 14 266
e 14 16 86
e 14 18 123
e 15 16 173
e 15 18 167
e 16 22 5
e 16 21 96
e 16 23 262
e 16 20 207
e 16 19 241
e 16 17 75
e 17 18 61
e 18 23 237
e 18 20 101
e 18 22 4
e 18 21 155
e 18 19 176
