t 24 50
v 1027 8 2
v 1028 6 23
v 8 7 10
v 1417 3 4
v 1427 7 3
v 665 9 3
v 1191 2 1
v 936 1 1
v 557 1 2
v 951 2 1
v 1210 7 4
v 1344 6 4
v 322 11 7
v 1091 4 2
v 580 11 4
v 581 3 7
v 336 10 2
v 212 13 1
v 614 11 1
v 745 12 3
v 1005 5 7
v 880 4 2
v 371 13 5
v 629 12 1
e 1027 322 9
e 1027 1028 0
e 1028 8 14
e 1028 212 7
e 1028 322 7
e 1028 336 0
e 1028 371 13
e 1028 557 3
e 1028 580 7
e 1028 581 4
e 1028 614 8
e 1028 629 0
e 1028 665 1
e 1028 745 12
e 1028 880 9
e 1028 936 13
e 1028 951 0
e 1028 1005 4
e 1028 1091 12
e 1028 1191 10
e 1028 1210 10
e 1028 1344 0
e 1028 1417 11
e 1028 1427 10
e 8 322 8
e 8 371 7
e 8 580 3
e 8 581 14
e 8 745 7
e 8 1210 5
e 8 1344 3
e 8 1417 6
e 8 1427 2
e 1417 1005 4
e 1417 1427 3
e 665 580 2
e 665 1344 11
e 557 336 11
e 1210 581 4
e 1210 1005 1
e 1344 580 2
e 322 371 14
e 322 581 11
e 322 1005 8
e 322 1091 2
e 581 371 3
e 581 880 0
e 581 1005 9
e 745 1005 6
e 1005 371 6
