t 32 61
v 2176 5 13
v 775 0 1
v 264 8 1
v 665 9 1
v 1949 14 2
v 928 14 1
v 161 8 2
v 1835 10 2
v 944 13 2
v 689 11 4
v 1333 7 3
v 54 8 7
v 2365 8 4
v 5444 14 4
v 5446 8 4
v 5447 10 4
v 5448 1 2
v 2250 6 1
v 333 5 3
v 3277 5 2
v 337 5 1
v 2135 2 2
v 736 3 2
v 3687 6 3
v 494 13 20
v 1141 4 2
v 4085 10 2
v 1529 13 10
v 1530 14 8
v 5372 2 3
v 1017 2 4
v 1023 1 2
e 2176 54 4
e 2176 333 0
e 2176 736 6
e 2176 1017 13
e 2176 1023 11
e 2176 1333 3
e 2176 1835 2
e 2176 1949 9
e 2176 2135 5
e 2176 3277 9
e 2176 3687 6
e 2176 5372 4
e 2176 5444 11
e 775 1529 5
e 264 494 3
e 665 1529 13
e 1949 494 7
e 928 1529 5
e 161 689 1
e 161 1529 5
e 1835 494 11
e 944 1529 0
e 944 1530 6
e 689 54 10
e 689 1017 8
e 689 1529 3
e 1333 1529 9
e 1333 1530 2
e 54 333 0
e 54 494 12
e 54 1141 12
e 54 4085 5
e 54 5372 7
e 2365 494 12
e 2365 1530 4
e 2365 5446 11
e 2365 5447 6
e 5444 494 10
e 5444 1529 10
e 5444 1530 13
e 5446 494 1
e 5446 1530 3
e 5446 5447 5
e 5447 494 9
e 5447 1530 2
e 5448 494 7
e 5448 1530 2
e 2250 494 9
e 333 494 10
e 3277 494 0
e 337 1529 5
e 2135 494 14
e 736 494 1
e 3687 494 3
e 3687 1530 3
e 494 1017 2
e 494 1023 1
e 494 1141 11
e 494 4085 9
e 494 5372 1
e 1529 1017 8
