t 64 228
v 256 3 9
v 0 13 11
v 1410 13 6
v 2178 13 3
v 644 2 11
v 645 9 2
v 769 4 10
v 1028 6 7
v 8 7 52
v 9 6 15
v 12 13 6
v 2318 3 12
v 15 5 12
v 914 1 2
v 20 8 14
v 660 10 7
v 661 10 12
v 921 12 1
v 28 4 10
v 926 0 4
v 415 6 9
v 416 10 6
v 1955 12 12
v 420 3 13
v 547 14 2
v 550 5 6
v 931 11 1
v 40 14 5
v 41 13 22
v 554 5 2
v 935 1 3
v 1192 2 12
v 813 0 11
v 1194 11 2
v 1195 1 5
v 1196 6 2
v 49 5 11
v 1210 7 10
v 59 4 9
v 1212 11 7
v 1984 3 12
v 322 11 12
v 578 1 3
v 580 11 3
v 581 3 6
v 327 8 1
v 329 2 1
v 461 10 3
v 93 2 5
v 352 0 1
v 868 12 2
v 2533 2 2
v 742 13 11
v 2534 2 3
v 2535 3 2
v 2536 2 2
v 2537 3 2
v 745 12 7
v 872 12 3
v 877 14 1
v 878 0 6
v 1129 4 2
v 881 14 3
v 371 13 7
e 256 28 1
e 256 420 13
e 256 461 5
e 256 644 1
e 256 742 11
e 256 769 13
e 256 813 10
e 256 1212 11
e 256 2318 12
e 0 8 4
e 0 9 4
e 0 12 13
e 0 15 3
e 0 20 10
e 0 28 0
e 0 40 3
e 0 41 10
e 0 49 5
e 0 59 13
e 0 93 12
e 1410 9 12
e 1410 15 5
e 1410 41 14
e 1410 415 12
e 1410 878 7
e 1410 2318 7
e 2178 1955 10
e 2178 2318 12
e 2178 2534 13
e 644 8 13
e 644 15 10
e 644 41 2
e 644 420 10
e 644 461 4
e 644 742 0
e 644 769 2
e 644 813 14
e 644 1210 4
e 644 1984 2
e 645 8 5
e 645 1984 2
e 769 8 2
e 769 41 11
e 769 742 9
e 769 745 12
e 769 1192 13
e 769 1210 5
e 769 1212 9
e 769 1984 0
e 1028 8 14
e 1028 322 7
e 1028 371 13
e 1028 580 7
e 1028 581 4
e 1028 745 12
e 1028 1210 10
e 8 9 14
e 8 12 14
e 8 15 2
e 8 20 12
e 8 28 11
e 8 40 14
e 8 41 3
e 8 49 0
e 8 59 12
e 8 93 10
e 8 322 8
e 8 327 3
e 8 329 8
e 8 352 6
e 8 371 7
e 8 415 12
e 8 416 7
e 8 420 2
e 8 461 5
e 8 547 6
e 8 550 11
e 8 554 4
e 8 578 9
e 8 580 3
e 8 581 14
e 8 660 14
e 8 661 7
e 8 745 7
e 8 813 3
e 8 868 9
e 8 872 2
e 8 877 13
e 8 878 11
e 8 881 10
e 8 914 5
e 8 921 5
e 8 926 6
e 8 931 11
e 8 935 4
e 8 1129 8
e 8 1192 4
e 8 1194 14
e 8 1195 10
e 8 1196 10
e 8 1210 5
e 8 1212 2
e 8 2318 9
e 9 12 9
e 9 15 5
e 9 20 13
e 9 41 2
e 9 415 10
e 9 416 9
e 9 420 11
e 9 550 11
e 9 745 14
e 9 1192 13
e 9 1195 8
e 9 1955 10
e 12 20 8
e 12 28 11
e 12 93 8
e 2318 742 4
e 2318 1955 7
e 2318 1984 8
e 2318 2533 14
e 2318 2534 12
e 2318 2535 13
e 2318 2536 0
e 2318 2537 12
e 15 20 14
e 15 41 5
e 15 49 9
e 15 59 5
e 15 322 3
e 15 878 7
e 15 1195 8
e 914 547 3
e 20 40 11
e 20 41 8
e 20 49 7
e 20 59 1
e 20 93 2
e 20 322 3
e 20 415 4
e 20 660 12
e 20 661 2
e 660 41 6
e 660 371 7
e 660 661 3
e 660 813 4
e 660 935 10
e 661 40 9
e 661 49 4
e 661 322 8
e 661 371 12
e 661 415 12
e 661 745 14
e 661 881 10
e 661 935 12
e 661 1192 11
e 28 41 14
e 28 49 8
e 28 420 12
e 28 745 8
e 28 813 14
e 28 1210 3
e 926 41 7
e 926 554 1
e 926 872 14
e 415 59 10
e 415 322 11
e 415 416 3
e 415 1192 3
e 416 41 10
e 416 322 7
e 416 1192 4
e 1955 742 3
e 1955 1192 2
e 1955 1210 8
e 1955 1984 11
e 1955 2533 5
e 1955 2534 14
e 1955 2535 11
e 1955 2536 0
e 1955 2537 8
e 420 41 13
e 420 59 11
e 420 550 14
e 420 742 0
e 420 813 10
e 420 1192 14
e 420 1210 2
e 420 1984 11
e 550 41 11
e 550 742 7
e 550 1984 13
e 40 41 12
e 41 49 5
e 41 59 7
e 41 322 3
e 41 813 4
e 41 878 1
e 41 1195 4
e 41 1984 10
e 1192 742 1
e 1192 1194 1
e 1192 1210 1
e 1192 1212 14
e 813 742 8
e 813 868 0
e 813 1212 7
e 813 1984 2
e 1195 59 9
e 1196 59 14
e 49 93 1
e 49 322 14
e 49 878 8
e 49 1212 9
e 1210 581 4
e 1210 1984 5
e 1212 1984 11
e 1984 742 9
e 322 371 14
e 322 581 11
e 322 1129 1
e 578 580 1
e 578 581 3
e 581 371 3
e 742 745 12
e 872 371 3
e 878 881 6
