t 32 35
v 2949 10 1
v 5002 10 1
v 16 9 1
v 4497 8 1
v 1684 12 31
v 5146 4 1
v 155 10 4
v 30 8 2
v 31 11 2
v 291 2 1
v 1450 13 1
v 3754 8 1
v 3116 7 1
v 173 7 1
v 6059 12 1
v 7343 14 1
v 6187 5 1
v 433 10 2
v 434 3 1
v 5559 1 1
v 3896 3 1
v 3132 14 2
v 4925 0 1
v 4286 6 1
v 576 1 2
v 582 0 1
v 4558 7 1
v 977 4 1
v 4313 4 1
v 1635 10 1
v 1512 1 1
v 4474 3 1
e 2949 1684 2
e 5002 1684 14
e 16 1684 0
e 4497 1684 4
e 1684 30 10
e 1684 31 0
e 1684 155 14
e 1684 173 10
e 1684 291 14
e 1684 433 13
e 1684 434 4
e 1684 576 2
e 1684 582 2
e 1684 977 5
e 1684 1450 8
e 1684 1512 3
e 1684 1635 13
e 1684 3116 10
e 1684 3132 3
e 1684 3754 11
e 1684 3896 9
e 1684 4286 9
e 1684 4313 2
e 1684 4474 0
e 1684 4558 14
e 1684 4925 12
e 1684 5146 2
e 1684 5559 0
e 1684 6059 8
e 1684 6187 12
e 1684 7343 1
e 155 30 10
e 155 433 13
e 155 576 2
e 31 3132 10
