t 24 31
v 1281 8 13
v 2 12 2
v 1 6 2
v 6022 10 1
v 4875 1 1
v 7323 10 3
v 7324 4 3
v 7325 13 2
v 30 8 2
v 7198 8 2
v 175 10 7
v 1220 2 3
v 1993 11 1
v 1102 12 4
v 4816 7 3
v 7376 5 1
v 1106 9 2
v 3025 2 1
v 2261 11 1
v 5723 4 1
v 1509 6 1
v 1649 0 2
v 243 11 2
v 2422 4 2
e 1281 2 7
e 1281 1106 12
e 1281 1509 7
e 1281 1649 0
e 1281 1993 1
e 1281 2261 0
e 1281 3025 1
e 1281 4875 13
e 1281 5723 8
e 1281 6022 11
e 1281 7323 3
e 1281 7324 11
e 1281 7325 1
e 2 1220 1
e 1 175 10
e 1 243 10
e 7323 175 1
e 7323 4816 11
e 7324 1649 14
e 7324 7325 3
e 30 1106 10
e 30 4816 10
e 7198 175 0
e 7198 1102 13
e 175 1102 5
e 175 1220 13
e 175 2422 14
e 175 7376 0
e 1220 1102 14
e 1102 2422 0
e 4816 243 9
