t 32 40
v 1 6 2
v 1426 11 1
v 1565 12 2
v 158 11 8
v 544 1 4
v 813 0 1
v 2354 0 1
v 3635 4 24
v 179 12 2
v 4532 0 1
v 5185 10 1
v 3394 9 1
v 5186 8 1
v 1604 14 3
v 5187 14 1
v 5188 14 2
v 5189 10 1
v 5190 6 1
v 969 13 1
v 5191 10 1
v 5192 6 1
v 5193 2 3
v 333 5 4
v 328 4 3
v 5062 7 1
v 5064 10 1
v 5065 1 1
v 2271 11 1
v 3687 6 1
v 364 14 3
v 2674 6 1
v 4338 11 1
e 1 158 7
e 1 179 5
e 1426 3635 1
e 1565 158 4
e 1565 328 3
e 158 328 0
e 158 3635 1
e 158 3687 10
e 158 5062 8
e 158 5064 4
e 158 5065 10
e 544 328 13
e 544 364 5
e 544 3635 8
e 544 5188 8
e 813 3635 3
e 2354 3635 6
e 3635 179 7
e 3635 333 13
e 3635 364 8
e 3635 969 11
e 3635 1604 13
e 3635 2271 2
e 3635 2674 10
e 3635 3394 7
e 3635 4338 2
e 3635 4532 2
e 3635 5185 6
e 3635 5186 3
e 3635 5187 10
e 3635 5188 10
e 3635 5189 6
e 3635 5190 12
e 3635 5191 4
e 3635 5192 11
e 3635 5193 4
e 1604 333 2
e 1604 5193 2
e 5193 333 4
e 333 364 2
