t 24 29
v 4 6 2
v 261 6 1
v 388 7 18
v 3588 12 1
v 263 0 2
v 663 3 2
v 796 10 1
v 1564 3 1
v 290 13 3
v 41 13 2
v 3626 11 1
v 429 1 1
v 689 11 1
v 4530 3 6
v 434 3 3
v 1073 12 1
v 824 3 3
v 3260 10 1
v 193 11 1
v 602 4 1
v 3309 12 1
v 755 14 1
v 1014 10 2
v 1016 13 2
e 4 41 5
e 4 388 2
e 261 388 10
e 388 41 12
e 388 193 1
e 388 263 6
e 388 290 11
e 388 429 11
e 388 434 7
e 388 602 5
e 388 663 12
e 388 689 1
e 388 755 2
e 388 796 6
e 388 824 9
e 388 1014 5
e 388 1073 3
e 388 1564 8
e 388 4530 7
e 3588 4530 6
e 263 434 4
e 663 824 11
e 290 434 11
e 290 824 9
e 3626 4530 14
e 4530 1016 7
e 4530 3260 5
e 4530 3309 11
e 1014 1016 0
